USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539584444	25773561	     594.437	       9.951	 32.532160	 -86.646469                                                                                                   
AL	01003	00161527	Baldwin County	4117583653	1133130093	    1589.808	     437.504	 30.659218	 -87.746067                                                                                                 
AL	01005	00161528	Barbour County	2291820953	50864677	     884.877	      19.639	 31.870253	 -85.405104                                                                                                   
AL	01007	00161529	Bibb County	1612481756	9287967	     622.583	       3.586	 33.015893	 -87.127148                                                                                                       
AL	01009	00161530	Blount County	1670041814	15077461	     644.807	       5.821	 33.977358	 -86.566440                                                                                                    
AL	01011	00161531	Bullock County	1613058451	6055020	     622.805	       2.338	 32.101759	 -85.717261                                                                                                    
AL	01013	00161532	Butler County	2011976221	2727475	     776.828	       1.053	 31.751667	 -86.681969                                                                                                     
AL	01015	00161533	Calhoun County	1569245771	16568584	     605.889	       6.397	 33.771706	 -85.822513                                                                                                   
AL	01017	00161534	Chambers County	1545009295	17048126	     596.531	       6.582	 32.915504	 -85.394032                                                                                                  
AL	01019	00161535	Cherokee County	1434128008	119806814	     553.720	      46.258	 34.069515	 -85.654242                                                                                                 
AL	01021	00161536	Chilton County	1794483668	20586275	     692.854	       7.948	 32.854051	 -86.726607                                                                                                   
AL	01023	00161537	Choctaw County	2365954803	19059247	     913.500	       7.359	 31.990997	 -88.248908                                                                                                   
AL	01025	00161538	Clarke County	3207612199	36542657	    1238.466	      14.109	 31.685521	 -87.818624                                                                                                    
AL	01027	00161539	Clay County	1564252220	5284585	     603.961	       2.040	 33.270400	 -85.863525                                                                                                       
AL	01029	00161540	Cleburne County	1450663481	2354898	     560.104	       0.909	 33.671964	 -85.516126                                                                                                   
AL	01031	00161541	Coffee County	1758565665	3907876	     678.986	       1.509	 31.402258	 -85.989602                                                                                                     
AL	01033	00161542	Colbert County	1534878355	80029923	     592.620	      30.900	 34.703112	 -87.801457                                                                                                   
AL	01035	00161543	Conecuh County	2201896148	6643478	     850.157	       2.565	 31.430926	 -86.988722                                                                                                    
AL	01037	00161544	Coosa County	1685891146	39946546	     650.926	      15.423	 32.931445	 -86.243482                                                                                                     
AL	01039	00161545	Covington County	2668869603	34526168	    1030.456	      13.331	 31.243987	 -86.448721                                                                                                 
AL	01041	00161546	Crenshaw County	1576887981	5376388	     608.840	       2.076	 31.732826	 -86.319222                                                                                                   
AL	01043	00161547	Cullman County	1903376240	52118961	     734.898	      20.123	 34.131923	 -86.869267                                                                                                   
AL	01045	00161548	Dale County	1453371192	4016457	     561.150	       1.551	 31.430654	 -85.609476                                                                                                       
AL	01047	00161549	Dallas County	2534807336	39134779	     978.695	      15.110	 32.333540	 -87.114356                                                                                                    
AL	01049	00161550	DeKalb County	2012664423	4121499	     777.094	       1.591	 34.460929	 -85.803992                                                                                                     
AL	01051	00161551	Elmore County	1601877327	99852764	     618.488	      38.553	 32.597229	 -86.142735                                                                                                    
AL	01053	00161552	Escambia County	2447747109	20872958	     945.080	       8.059	 31.122287	 -87.168410                                                                                                  
AL	01055	00161553	Etowah County	1386505882	34436544	     535.333	      13.296	 34.047641	 -86.034263                                                                                                    
AL	01057	00161554	Fayette County	1625693532	4330882	     627.684	       1.672	 33.716157	 -87.764292                                                                                                    
AL	01059	00161555	Franklin County	1641580723	32904833	     633.818	      12.705	 34.441989	 -87.842814                                                                                                  
AL	01061	00161556	Geneva County	1487710550	11765163	     574.408	       4.543	 31.092393	 -85.821011                                                                                                    
AL	01063	00161557	Greene County	1675993286	33244756	     647.105	      12.836	 32.844497	 -87.964200                                                                                                    
AL	01065	00161558	Hale County	1667803963	32525876	     643.943	      12.558	 32.752796	 -87.623061                                                                                                      
AL	01067	00161559	Henry County	1454926264	16986823	     561.750	       6.559	 31.516978	 -85.239971                                                                                                     
AL	01069	00161560	Houston County	1501741569	4736091	     579.826	       1.829	 31.158193	 -85.296398                                                                                                    
AL	01071	00161561	Jackson County	2791664974	126657151	    1077.868	      48.903	 34.764114	 -85.980056                                                                                                  
AL	01073	00161562	Jefferson County	2878198172	32472182	    1111.279	      12.538	 33.553444	 -86.896536                                                                                                 
AL	01075	00161563	Lamar County	1566544626	1600679	     604.846	       0.618	 33.787085	 -88.087431                                                                                                      
AL	01077	00161564	Lauderdale County	1729334656	134420368	     667.700	      51.900	 34.904122	 -87.650997                                                                                               
AL	01079	00161565	Lawrence County	1788847700	68687348	     690.678	      26.520	 34.529776	 -87.321865                                                                                                  
AL	01081	00161566	Lee County	1573552207	21488919	     607.552	       8.297	 32.604064	 -85.353048                                                                                                       
AL	01083	00161567	Limestone County	1450233464	122374530	     559.938	      47.249	 34.810239	 -86.981399                                                                                                
AL	01085	00161568	Lowndes County	1854201994	23721056	     715.911	       9.159	 32.147888	 -86.650586                                                                                                   
AL	01087	00161569	Macon County	1577005108	11194124	     608.885	       4.322	 32.387027	 -85.692887                                                                                                     
AL	01089	00161570	Madison County	2076115374	28770709	     801.593	      11.108	 34.764238	 -86.551080                                                                                                   
AL	01091	00161572	Marengo County	2530112418	14994543	     976.882	       5.789	 32.247591	 -87.791091                                                                                                   
AL	01093	00161573	Marion County	1922526820	3313144	     742.292	       1.279	 34.138219	 -87.881551                                                                                                     
AL	01095	00161574	Marshall County	1465522829	148503240	     565.842	      57.337	 34.309564	 -86.321668                                                                                                 
AL	01097	00161575	Mobile County	3184112222	1073860915	    1229.393	     414.620	 30.684572	 -88.196568                                                                                                  
AL	01099	00161576	Monroe County	2656521228	22609674	    1025.689	       8.730	 31.580332	 -87.383266                                                                                                    
AL	01101	00161577	Montgomery County	2031293236	40468780	     784.287	      15.625	 32.203650	 -86.203831                                                                                                
