USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AL,1001,161526,Autauga County,1539584444,25773561,594.437,9.951,32.53216,-86.646469
AL,1003,161527,Baldwin County,4117583653,1133130093,1589.808,437.504,30.659218,-87.746067
AL,1005,161528,Barbour County,2291820953,50864677,884.877,19.639,31.870253,-85.405104
AL,1007,161529,Bibb County,1612481756,9287967,622.583,3.586,33.015893,-87.127148
AL,1009,161530,Blount County,1670041814,15077461,644.807,5.821,33.977358,-86.56644
AL,1011,161531,Bullock County,1613058451,6055020,622.805,2.338,32.101759,-85.717261
AL,1013,161532,Butler County,2011976221,2727475,776.828,1.053,31.751667,-86.681969
AL,1015,161533,Calhoun County,1569245771,16568584,605.889,6.397,33.771706,-85.822513
AL,1017,161534,Chambers County,1545009295,17048126,596.531,6.582,32.915504,-85.394032
AL,1019,161535,Cherokee County,1434128008,119806814,553.72,46.258,34.069515,-85.654242
AL,1021,161536,Chilton County,1794483668,20586275,692.854,7.948,32.854051,-86.726607
AL,1023,161537,Choctaw County,2365954803,19059247,913.5,7.359,31.990997,-88.248908
AL,1025,161538,Clarke County,3207612199,36542657,1238.466,14.109,31.685521,-87.818624
AL,1027,161539,Clay County,1564252220,5284585,603.961,2.04,33.2704,-85.863525
AL,1029,161540,Cleburne County,1450663481,2354898,560.104,0.909,33.671964,-85.516126
AL,1031,161541,Coffee County,1758565665,3907876,678.986,1.509,31.402258,-85.989602
AL,1033,161542,Colbert County,1534878355,80029923,592.62,30.9,34.703112,-87.801457
AL,1035,161543,Conecuh County,2201896148,6643478,850.157,2.565,31.430926,-86.988722
AL,1037,161544,Coosa County,1685891146,39946546,650.926,15.423,32.931445,-86.243482
AL,1039,161545,Covington County,2668869603,34526168,1030.456,13.331,31.243987,-86.448721
AL,1041,161546,Crenshaw County,1576887981,5376388,608.84,2.076,31.732826,-86.319222
AL,1043,161547,Cullman County,1903376240,52118961,734.898,20.123,34.131923,-86.869267
AL,1045,161548,Dale County,1453371192,4016457,561.15,1.551,31.430654,-85.609476
AL,1047,161549,Dallas County,2534807336,39134779,978.695,15.11,32.33354,-87.114356
AL,1049,161550,DeKalb County,2012664423,4121499,777.094,1.591,34.460929,-85.803992
AL,1051,161551,Elmore County,1601877327,99852764,618.488,38.553,32.597229,-86.142735
AL,1053,161552,Escambia County,2447747109,20872958,945.08,8.059,31.122287,-87.16841
AL,1055,161553,Etowah County,1386505882,34436544,535.333,13.296,34.047641,-86.034263
AL,1057,161554,Fayette County,1625693532,4330882,627.684,1.672,33.716157,-87.764292
AL,1059,161555,Franklin County,1641580723,32904833,633.818,12.705,34.441989,-87.842814
AL,1061,161556,Geneva County,1487710550,11765163,574.408,4.543,31.092393,-85.821011
AL,1063,161557,Greene County,1675993286,33244756,647.105,12.836,32.844497,-87.9642
AL,1065,161558,Hale County,1667803963,32525876,643.943,12.558,32.752796,-87.623061
AL,1067,161559,Henry County,1454926264,16986823,561.75,6.559,31.516978,-85.239971
AL,1069,161560,Houston County,1501741569,4736091,579.826,1.829,31.158193,-85.296398
AL,1071,161561,Jackson County,2791664974,126657151,1077.868,48.903,34.764114,-85.980056
AL,1073,161562,Jefferson County,2878198172,32472182,1111.279,12.538,33.553444,-86.896536
AL,1075,161563,Lamar County,1566544626,1600679,604.846,0.618,33.787085,-88.087431
AL,1077,161564,Lauderdale County,1729334656,134420368,667.7,51.9,34.904122,-87.650997
AL,1079,161565,Lawrence County,1788847700,68687348,690.678,26.52,34.529776,-87.321865
AL,1081,161566,Lee County,1573552207,21488919,607.552,8.297,32.604064,-85.353048
AL,1083,161567,Limestone County,1450233464,122374530,559.938,47.249,34.810239,-86.981399
AL,1085,161568,Lowndes County,1854201994,23721056,715.911,9.159,32.147888,-86.650586
AL,1087,161569,Macon County,1577005108,11194124,608.885,4.322,32.387027,-85.692887
AL,1089,161570,Madison County,2076115374,28770709,801.593,11.108,34.764238,-86.55108
AL,1091,161572,Marengo County,2530112418,14994543,976.882,5.789,32.247591,-87.791091
AL,1093,161573,Marion County,1922526820,3313144,742.292,1.279,34.138219,-87.881551
AL,1095,161574,Marshall County,1465522829,148503240,565.842,57.337,34.309564,-86.321668
AL,1097,161575,Mobile County,3184112222,1073860915,1229.393,414.62,30.684572,-88.196568
AL,1099,161576,Monroe County,2656521228,22609674,1025.689,8.73,31.580332,-87.383266
AL,1101,161577,Montgomery County,2031293236,40468780,784.287,15.625,32.20365,-86.203831
AL,1103,161578,Morgan County,1500535114,51006068,579.36,19.694,34.454484,-86.846402
AL,1105,161579,Perry County,1863920367,10918481,719.664,4.216,32.639005,-87.293827
AL,1107,161580,Pickens County,2282893925,22521211,881.43,8.695,33.296793,-88.096863
AL,1109,161581,Pike County,1740741440,2336918,672.104,0.902,31.798651,-85.941604
AL,1111,161582,Randolph County,1503616627,9285272,580.55,3.585,33.296475,-85.464068
AL,1113,161583,Russell County,1660584296,15635292,641.155,6.037,32.289811,-85.18698
AL,1115,164997,St. Clair County,1636625182,56293637,631.905,21.735,33.712963,-86.315663
AL,1117,161584,Shelby County,2033105955,63551442,784.987,24.537,33.263043,-86.678089
AL,1119,161585,Sumter County,2341060545,24433134,903.889,9.434,32.597481,-88.200057
AL,1121,161586,Talladega County,1908244350,60939131,736.777,23.529,33.369277,-86.175805
AL,1123,161587,Tallapoosa County,1855779658,128809177,716.521,49.734,32.863369,-85.799553
AL,1125,161588,Tuscaloosa County,3423104097,76620463,1321.668,29.583,33.290242,-87.522735
AL,1127,161589,Walker County,2049182266,36258741,791.194,14,33.791558,-87.301094
AL,1129,161590,Washington County,2797722215,21650837,1080.207,8.359,31.405217,-88.197564
AL,1131,161591,Wilcox County,2301199919,48985146,888.498,18.913,31.990085,-87.304907
AL,1133,161592,Winston County,1587615096,48922725,612.982,18.889,34.154607,-87.36529
AK,2013,1419964,Aleutians East Borough,18082854844,20793145269,6981.83,8028.279,55.245044,-161.997477
AK,2016,1419965,Aleutians West Census Area,11370496382,25190642141,4390.173,9726.162,51.959447,178.338813
AK,2020,1416061,Anchorage Municipality,4415620140,663632140,1704.881,256.23,61.17425,-149.284329
AK,2050,1419966,Bethel Census Area,1.05076E+11,12779539126,40570.027,4934.208,60.929141,-160.152625
AK,2060,1419967,Bristol Bay Borough,1304962204,993834924,503.849,383.722,58.730158,-156.996632
AK,2068,1419988,Denali Borough,33026406704,66068782,12751.567,25.509,63.681106,-150.026544
AK,2070,1419968,Dillingham Census Area,48093048393,6077139202,18568.831,2346.397,60.297403,-158.094698
AK,2090,1419969,Fairbanks North Star Borough,19006935676,272298859,7338.619,105.135,64.692317,-146.601733
AK,2100,1419970,Haines Borough,6009021544,1049986695,2320.096,405.402,59.098771,-135.576936
AK,2105,2371430,Hoonah-Angoon Census Area,16966364741,7799664970,6550.75,3011.468,58.403336,-135.884909
AK,2110,1419971,Juneau City and Borough,6998180840,1429473426,2702.013,551.923,58.37291,-134.178445
AK,2122,1419972,Kenai Peninsula Borough,41634472271,22473680180,16075.16,8677.137,60.366668,-152.322283
AK,2130,1419973,Ketchikan Gateway Borough,12583288018,4649397262,4858.435,1795.142,55.449938,-131.106685
AK,2150,1419974,Kodiak Island Borough,16963710731,14172770704,6549.726,5472.138,57.502015,-153.563512
AK,2164,1419975,Lake and Peninsula Borough,60641390963,24626906754,23413.773,9508.502,58.205065,-156.705188
AK,2170,1419976,Matanuska-Susitna Borough,63735012963,1682052438,24608.227,649.444,62.279075,-149.617562
AK,2180,1419977,Nome Census Area,59470568256,13767980127,22961.716,5315.847,64.783686,-164.188912
AK,2185,1419978,North Slope Borough,2.29721E+11,15801027072,88695.59,6100.811,69.449343,-153.47283
AK,2188,1419979,Northwest Arctic Borough,92638195354,12901066002,35767.809,4981.13,67.005066,-160.021086
AK,2195,2516404,Petersburg Borough,7556525819,2399243237,2917.591,926.353,57.112458,-133.008598
AK,2198,1419980,Prince of Wales-Hyder Census Area,13628568286,14538534966,5262.02,5613.36,55.682773,-133.162389
AK,2220,1419981,Sitka City and Borough,7434284129,5027235256,2870.393,1941.026,57.193204,-135.367396
AK,2230,2339479,Skagway Municipality,1171510538,30331285,452.323,11.711,59.575097,-135.335418
AK,2240,1419983,Southeast Fairbanks Census Area,64150204972,752764069,24768.534,290.644,63.864997,-143.218628
AK,2261,1419984,Valdez-Cordova Census Area,88681052080,15799729384,34239.947,6100.31,61.34984,-145.023141
AK,2270,1419985,Wade Hampton Census Area,44240303572,6712008910,17081.277,2591.521,62.28306,-163.190903
AK,2275,2516402,Wrangell City and Borough,6582396501,2384301646,2541.478,920.584,56.180779,-132.026788
